streaming_movies,number_of_referrals,total_extra_data_charges,multiple_lines,total_revenue,paperless_billing,phone_service,total_charges,internet_service,tenure_in_months,age,streaming_tv,customer_id,state,gender,online_backup,online_security,internet_type,device_protection_plan,contract,monthly_charge,unlimited_data,married,streaming_music,payment_method,total_refunds,total_long_distance_charges,churn
,6,0,No,1430.8,Yes,Yes,471.85,No,3,69,,81327-JHA,Jharkhand,Female,,,,,One Year,19.6,,Yes,,Bank Withdrawal,21.25,980.2,0
,8,0,No,4045.81,No,Yes,1396.9,No,2,49,,42012-UTT,Uttar Pradesh,Female,,,,,Two Year,19.7,,No,,Bank Withdrawal,0.0,2648.91,0
Yes,4,0,No,4838.92,No,Yes,3247.55,Yes,8,22,Yes,79321-MAH,Maharashtra,Female,No,No,Fiber Optic,No,One Year,91.2,Yes,Yes,Yes,Credit Card,0.0,1591.37,0
,2,0,No,3330.32,No,Yes,900.9,No,18,46,,82811-HAR,Haryana,Female,,,,,One Year,20.45,,Yes,,Bank Withdrawal,0.0,2429.42,0
Yes,7,0,Yes,10830.97,No,Yes,7942.15,Yes,8,26,Yes,36568-HAR,Haryana,Male,Yes,Yes,Fiber Optic,Yes,One Year,-2.0,Yes,Yes,Yes,Bank Withdrawal,0.0,2888.82,0
,12,0,No,2861.91,No,Yes,1343.4,No,20,30,,62683-UTT,Uttar Pradesh,Female,,,,,One Year,20.55,,No,,Bank Withdrawal,30.53,1549.04,0
No,14,0,,825.4,Yes,No,825.4,Yes,2,32,No,18223-MAD,Madhya Pradesh,Male,No,Yes,Cable,Yes,Two Year,39.4,Yes,No,No,Credit Card,0.0,0.0,0
,10,0,Yes,2387.67,Yes,Yes,1070.15,No,8,32,,41111-MAH,Maharashtra,Female,,,,,Two Year,25.1,,No,,Bank Withdrawal,0.0,1317.52,0
No,15,0,Yes,5239.0,Yes,Yes,4959.6,Yes,16,41,Yes,74542-MAH,Maharashtra,Female,No,Yes,Fiber Optic,No,Month-to-Month,89.8,Yes,No,No,Bank Withdrawal,0.0,279.4,0
No,2,0,Yes,6564.66,Yes,Yes,5597.65,Yes,30,56,Yes,18842-HAR,Haryana,Male,Yes,Yes,Fiber Optic,No,Month-to-Month,94.75,Yes,Yes,No,Bank Withdrawal,0.0,967.01,0
,0,0,No,455.86,No,Yes,224.5,No,31,52,,12210-DEL,Delhi,Female,,,,,Two Year,20.3,,No,,Bank Withdrawal,0.0,231.36,0
No,1,0,Yes,2611.02,Yes,Yes,1929.0,Yes,20,61,No,76566-UTT,Uttar Pradesh,Male,No,No,Fiber Optic,No,Month-to-Month,75.75,Yes,No,No,Bank Withdrawal,0.0,682.02,0
No,10,0,No,179.08,Yes,Yes,91.1,Yes,21,66,No,73036-JAM,Jammu & Kashmir,Female,No,Yes,DSL,No,Month-to-Month,49.25,Yes,Yes,No,Bank Withdrawal,0.0,87.98,1
Yes,3,0,No,3399.52,No,Yes,2078.95,Yes,25,25,Yes,42964-MAH,Maharashtra,Female,Yes,No,DSL,Yes,One Year,78.2,Yes,Yes,Yes,Credit Card,0.0,1320.57,0
,12,0,Yes,1178.43,No,Yes,630.6,No,19,35,,18220-JHA,Jharkhand,Male,,,,,Two Year,25.5,,No,,Credit Card,44.42,592.25,0
No,15,0,No,1727.35,Yes,Yes,1611.0,Yes,14,51,No,47645-PUN,Punjab,Male,Yes,Yes,Cable,Yes,One Year,61.6,Yes,Yes,No,Bank Withdrawal,44.9,161.25,0
No,7,0,,1230.19,Yes,No,1242.45,Yes,23,52,No,82015-UTT,Uttar Pradesh,Female,Yes,Yes,DSL,Yes,Month-to-Month,45.0,Yes,No,No,Credit Card,12.26,0.0,0
Yes,6,0,Yes,8646.12,Yes,Yes,6316.2,Yes,3,22,Yes,15644-ASS,Assam,Female,Yes,No,DSL,Yes,Two Year,85.15,Yes,No,Yes,Bank Withdrawal,0.0,2329.92,0
No,12,0,No,1064.41,No,Yes,727.85,Yes,28,61,No,24801-WES,West Bengal,Female,Yes,No,Cable,No,One Year,51.45,Yes,Yes,No,Credit Card,0.0,336.56,0
Yes,5,0,No,4806.7,Yes,Yes,3532.0,Yes,4,36,Yes,85794-JHA,Jharkhand,Female,No,No,Fiber Optic,Yes,One Year,99.25,Yes,No,Yes,Bank Withdrawal,0.0,1274.7,0
No,14,0,No,87.25,Yes,Yes,44.3,Yes,12,53,No,72357-MAD,Madhya Pradesh,Female,No,No,DSL,No,Month-to-Month,44.3,Yes,No,No,Credit Card,0.0,42.95,0
Yes,3,20,No,2687.05,Yes,Yes,2607.6,Yes,14,54,Yes,28648-DEL,Delhi,Male,No,No,Fiber Optic,No,Month-to-Month,94.2,No,Yes,Yes,Bank Withdrawal,0.0,59.45,0
No,3,40,Yes,5958.91,No,Yes,5567.55,Yes,20,26,Yes,85682-UTT,Uttarakhand,Female,Yes,Yes,DSL,Yes,One Year,81.25,No,No,No,Bank Withdrawal,0.0,351.36,0
Yes,9,0,Yes,4718.22,Yes,Yes,3767.4,Yes,14,31,Yes,93096-AND,Andhra Pradesh,Male,No,No,Fiber Optic,No,Month-to-Month,99.95,Yes,Yes,Yes,Credit Card,0.0,950.82,0
Yes,4,0,No,5439.2,Yes,Yes,3673.6,Yes,29,73,Yes,49974-RAJ,Rajasthan,Female,No,No,Fiber Optic,No,Two Year,91.55,Yes,No,No,Bank Withdrawal,0.0,1765.6,0
Yes,9,0,Yes,5544.45,Yes,Yes,4036.85,Yes,26,47,Yes,36405-CHH,Chhattisgarh,Male,Yes,No,Fiber Optic,Yes,Month-to-Month,104.5,Yes,No,Yes,Credit Card,0.0,1507.6,1
Yes,4,120,No,1367.79,Yes,Yes,1120.3,Yes,1,73,Yes,22439-RAJ,Rajasthan,Female,Yes,No,Fiber Optic,No,Month-to-Month,95.0,No,Yes,No,Bank Withdrawal,0.0,127.49,1
No,2,0,Yes,570.51,No,Yes,314.55,Yes,3,28,No,33514-UTT,Uttar Pradesh,Female,No,No,Cable,No,Month-to-Month,50.35,Yes,Yes,No,Bank Withdrawal,0.0,255.96,0
Yes,15,0,Yes,1967.65,Yes,Yes,1888.45,Yes,34,54,No,21555-JHA,Jharkhand,Female,No,Yes,DSL,No,Month-to-Month,64.5,Yes,No,Yes,Mailed Check,0.0,79.2,0
,8,0,No,1087.62,Yes,Yes,529.8,No,31,31,,46640-PUN,Punjab,Male,,,,,Month-to-Month,19.4,,Yes,,Bank Withdrawal,0.0,557.82,0
Yes,3,0,Yes,10067.14,Yes,Yes,7308.95,Yes,16,68,Yes,23376-TAM,Tamil Nadu,Female,Yes,No,Fiber Optic,Yes,One Year,104.8,Yes,No,No,Bank Withdrawal,6.11,2764.3,0
No,5,0,No,3933.78,No,Yes,2878.55,Yes,2,65,No,98423-JAM,Jammu & Kashmir,Male,No,No,DSL,Yes,One Year,50.3,Yes,No,No,Credit Card,10.23,1065.46,0
Yes,9,0,Yes,1623.46,Yes,Yes,1212.1,Yes,6,21,No,34135-MAH,Maharashtra,Female,Yes,No,DSL,Yes,Month-to-Month,71.4,Yes,No,Yes,Bank Withdrawal,0.0,411.36,0
Yes,15,0,Yes,10840.73,Yes,Yes,8182.85,Yes,33,58,Yes,89530-KAR,Karnataka,Female,Yes,Yes,Fiber Optic,Yes,Two Year,116.0,Yes,Yes,Yes,Bank Withdrawal,0.0,2657.88,0
,9,0,No,51.62,Yes,Yes,19.85,No,27,27,,69173-TAM,Tamil Nadu,Male,,,,,Month-to-Month,19.85,,No,,Bank Withdrawal,0.0,31.77,1
Yes,6,0,Yes,140.46,Yes,Yes,99.75,Yes,36,54,Yes,22286-HAR,Haryana,Female,No,No,Fiber Optic,Yes,Month-to-Month,99.75,Yes,Yes,Yes,Bank Withdrawal,0.0,40.71,1
Yes,8,0,No,3880.97,Yes,Yes,2861.45,Yes,32,73,Yes,66581-UTT,Uttar Pradesh,Female,Yes,No,Fiber Optic,No,One Year,93.95,Yes,Yes,Yes,Mailed Check,0.0,1019.52,0
No,9,0,Yes,2221.56,Yes,Yes,1442.2,Yes,35,46,Yes,22573-TAM,Tamil Nadu,Male,No,No,Fiber Optic,Yes,Month-to-Month,90.8,Yes,No,No,Bank Withdrawal,0.0,779.36,0
Yes,10,0,Yes,5997.3,No,Yes,4059.35,Yes,1,66,Yes,25964-HAR,Haryana,Male,No,Yes,Cable,Yes,One Year,84.35,Yes,Yes,Yes,Bank Withdrawal,0.0,1937.95,1
Yes,13,0,,4145.9,No,No,4145.9,Yes,12,42,Yes,92186-PUN,Punjab,Female,Yes,No,Cable,Yes,Two Year,58.25,Yes,No,Yes,Bank Withdrawal,0.0,0.0,0
Yes,3,0,Yes,5285.27,No,Yes,3645.5,Yes,31,41,Yes,39892-ODI,Odisha,Male,Yes,No,Fiber Optic,Yes,Month-to-Month,107.55,Yes,Yes,Yes,Bank Withdrawal,0.0,1639.77,0
,1,0,No,683.75,Yes,Yes,187.75,No,1,18,,71292-MAH,Maharashtra,Female,,,,,Month-to-Month,19.95,,No,,Bank Withdrawal,0.0,496.0,0
Yes,15,120,Yes,3198.56,Yes,Yes,2317.1,Yes,1,20,Yes,31698-PUN,Punjab,Female,Yes,No,Fiber Optic,Yes,Month-to-Month,111.2,No,Yes,Yes,Bank Withdrawal,0.0,761.46,1
No,7,0,,1448.8,No,No,1448.8,Yes,10,47,No,76182-UTT,Uttar Pradesh,Male,Yes,Yes,DSL,Yes,Month-to-Month,40.2,Yes,No,No,Bank Withdrawal,0.0,0.0,1
No,14,0,No,3070.89,Yes,Yes,2193.65,Yes,29,72,Yes,73588-KER,Kerala,Female,No,Yes,Fiber Optic,No,Month-to-Month,85.8,Yes,No,No,Credit Card,0.0,877.24,0
No,5,0,,1748.9,Yes,No,1748.9,Yes,17,50,No,59410-MAH,Maharashtra,Male,No,Yes,DSL,No,One Year,35.4,Yes,No,No,Credit Card,0.0,0.0,0
No,5,0,Yes,698.56,Yes,Yes,511.25,Yes,10,31,No,69444-JAM,Jammu & Kashmir,Female,No,No,Fiber Optic,No,Month-to-Month,73.85,Yes,Yes,Yes,Bank Withdrawal,13.03,200.34,1
Yes,9,0,Yes,8405.34,No,Yes,5526.75,Yes,5,59,Yes,66365-UTT,Uttar Pradesh,Female,Yes,Yes,DSL,Yes,Two Year,88.1,Yes,Yes,Yes,Mailed Check,0.0,2878.59,0
Yes,8,0,No,2242.75,Yes,Yes,1553.95,Yes,27,38,Yes,66612-TEL,Telangana,Female,No,No,Fiber Optic,Yes,Month-to-Month,101.35,Yes,Yes,Yes,Bank Withdrawal,0.0,688.8,1
Yes,10,0,,1147.0,No,No,1147.0,Yes,7,54,No,39181-WES,West Bengal,Male,No,Yes,DSL,No,Month-to-Month,45.8,Yes,Yes,Yes,Credit Card,0.0,0.0,0
Yes,4,0,No,9139.19,Yes,Yes,6747.35,Yes,29,35,Yes,97688-TAM,Tamil Nadu,Female,No,No,Fiber Optic,Yes,Month-to-Month,94.65,Yes,Yes,Yes,Bank Withdrawal,0.0,2391.84,0
,4,0,No,2070.65,Yes,Yes,865.05,No,12,69,,71687-KER,Kerala,Male,,,,,One Year,20.5,,Yes,,Bank Withdrawal,0.0,1205.6,0
Yes,13,40,Yes,9200.36,No,Yes,5976.9,Yes,23,57,No,34524-MAH,Maharashtra,Female,Yes,No,Fiber Optic,No,Month-to-Month,89.4,No,No,Yes,Credit Card,36.02,3219.48,0
No,14,0,No,255.27,Yes,Yes,181.65,Yes,6,44,No,93739-UTT,Uttar Pradesh,Female,Yes,Yes,Fiber Optic,No,Month-to-Month,86.25,Yes,No,No,Bank Withdrawal,0.0,73.62,1
Yes,15,0,No,3589.82,No,Yes,3268.05,Yes,36,79,Yes,21662-AND,Andhra Pradesh,Male,No,No,DSL,Yes,One Year,74.85,Yes,Yes,Yes,Bank Withdrawal,17.91,339.68,0
No,14,0,Yes,1224.96,Yes,Yes,1052.4,Yes,28,58,Yes,19096-WES,West Bengal,Female,Yes,No,Fiber Optic,No,Month-to-Month,89.75,Yes,Yes,No,Bank Withdrawal,0.0,172.56,1
Yes,11,0,Yes,8904.54,Yes,Yes,7634.25,Yes,20,73,Yes,72489-HAR,Haryana,Female,Yes,No,Fiber Optic,Yes,Two Year,109.95,Yes,No,No,Bank Withdrawal,0.0,1270.29,0
No,13,0,Yes,81.43,Yes,Yes,80.2,Yes,27,26,No,46624-WES,West Bengal,Female,Yes,No,Fiber Optic,No,Month-to-Month,80.2,Yes,Yes,No,Mailed Check,0.0,1.23,1
,6,0,No,141.0,No,Yes,63.75,No,18,28,,14078-MAH,Maharashtra,Female,,,,,Month-to-Month,19.85,,Yes,,Credit Card,0.0,77.25,1
No,0,0,Yes,2481.24,Yes,Yes,2401.05,Yes,21,81,No,34425-ASS,Assam,Male,Yes,No,Fiber Optic,Yes,Two Year,86.45,Yes,No,No,Bank Withdrawal,0.0,80.19,0
,10,0,No,858.09,Yes,Yes,511.25,No,12,54,,41236-GUJ,Gujarat,Female,,,,,Month-to-Month,20.3,,No,,Bank Withdrawal,0.0,346.84,0
Yes,6,0,Yes,4735.0,Yes,Yes,3949.15,Yes,12,76,Yes,68369-UTT,Uttar Pradesh,Female,No,No,Fiber Optic,No,Month-to-Month,101.25,Yes,No,Yes,Bank Withdrawal,0.0,785.85,0
Yes,4,0,Yes,3234.1,Yes,Yes,2362.1,Yes,20,42,Yes,91027-CHH,Chhattisgarh,Male,No,No,Fiber Optic,No,Month-to-Month,94.7,Yes,No,Yes,Bank Withdrawal,0.0,872.0,1
No,11,0,No,110.71,No,Yes,70.9,Yes,1,42,No,85993-KAR,Karnataka,Female,No,No,Fiber Optic,No,Month-to-Month,70.9,Yes,Yes,No,Mailed Check,0.0,39.81,1
No,5,0,No,1751.98,Yes,Yes,1152.7,Yes,34,52,No,12999-BIH,Bihar,Female,No,Yes,DSL,No,Month-to-Month,54.2,Yes,No,No,Bank Withdrawal,0.0,599.28,1
Yes,12,0,Yes,11979.34,Yes,Yes,8496.7,Yes,26,57,Yes,48768-MAD,Madhya Pradesh,Female,Yes,Yes,Fiber Optic,Yes,Two Year,114.9,Yes,No,Yes,Bank Withdrawal,0.0,3482.64,0
,7,0,No,725.56,Yes,Yes,470.2,No,24,55,,86994-ODI,Odisha,Female,,,,,Two Year,19.55,,Yes,,Bank Withdrawal,0.0,255.36,0
No,0,0,Yes,1713.36,Yes,Yes,1564.4,Yes,32,38,Yes,95096-UTT,Uttar Pradesh,Male,No,No,Fiber Optic,No,Month-to-Month,86.85,Yes,No,No,Bank Withdrawal,0.0,148.96,0
,3,0,Yes,2500.75,No,Yes,1847.55,No,6,18,,71676-GUJ,Gujarat,Female,,,,,Two Year,25.35,,No,,Credit Card,0.0,653.2,0
Yes,5,0,Yes,4524.65,Yes,Yes,3694.7,Yes,5,77,Yes,84002-ODI,Odisha,Male,No,Yes,Fiber Optic,Yes,One Year,109.9,Yes,No,No,Bank Withdrawal,0.0,829.95,0
,11,0,No,66.07,No,Yes,58.0,No,18,58,,66612-KAR,Karnataka,Female,,,,,Month-to-Month,19.95,,Yes,,Credit Card,0.0,8.07,0
No,11,0,Yes,4068.68,No,Yes,4017.45,Yes,1,52,Yes,32553-TAM,Tamil Nadu,Male,Yes,No,Fiber Optic,No,Month-to-Month,87.2,Yes,No,No,Bank Withdrawal,0.0,51.23,0
Yes,4,0,No,6934.77,No,Yes,6825.65,Yes,36,39,Yes,72664-JAM,Jammu & Kashmir,Female,Yes,Yes,Fiber Optic,Yes,Two Year,108.15,Yes,No,Yes,Credit Card,0.0,109.12,0
Yes,6,0,Yes,8514.03,Yes,Yes,8309.55,Yes,1,23,Yes,78178-UTT,Uttarakhand,Male,Yes,Yes,Fiber Optic,Yes,One Year,116.3,Yes,Yes,Yes,Bank Withdrawal,0.0,204.48,0
Yes,9,0,No,899.24,Yes,Yes,605.45,Yes,8,66,Yes,31311-PUN,Punjab,Male,No,No,Fiber Optic,No,Two Year,89.0,Yes,Yes,Yes,Bank Withdrawal,0.0,293.79,0
No,4,0,No,3232.17,No,Yes,1972.35,Yes,36,51,No,78389-KER,Kerala,Female,No,Yes,Fiber Optic,No,Month-to-Month,74.4,Yes,No,No,Credit Card,0.0,1259.82,0
,5,0,No,37.32,No,Yes,33.7,No,5,31,,22119-WES,West Bengal,Male,,,,,Month-to-Month,20.05,,Yes,,Credit Card,0.0,3.62,0
No,9,0,,844.45,No,No,844.45,Yes,3,31,No,47077-WES,West Bengal,Female,No,Yes,Cable,No,Two Year,35.05,Yes,Yes,No,Bank Withdrawal,0.0,0.0,0
Yes,0,0,No,3269.6,Yes,Yes,2111.3,Yes,25,77,Yes,94522-JHA,Jharkhand,Male,Yes,Yes,DSL,No,One Year,74.75,Yes,Yes,No,Bank Withdrawal,0.0,1158.3,0
Yes,3,0,No,7188.02,Yes,Yes,6205.5,Yes,7,69,Yes,53287-MAH,Maharashtra,Female,Yes,Yes,Fiber Optic,No,One Year,105.5,Yes,Yes,Yes,Credit Card,0.0,982.52,1
Yes,13,100,Yes,975.5,Yes,Yes,855.3,Yes,7,29,No,21811-CHH,Chhattisgarh,Male,No,No,Fiber Optic,No,Month-to-Month,85.25,No,No,Yes,Bank Withdrawal,0.0,20.2,1
No,2,0,Yes,717.28,Yes,Yes,633.85,Yes,15,64,No,16554-RAJ,Rajasthan,Female,No,No,Fiber Optic,No,Month-to-Month,75.2,Yes,No,No,Credit Card,0.0,83.43,0
Yes,3,0,Yes,647.16,Yes,Yes,474.9,Yes,1,83,No,32681-MAH,Maharashtra,Female,No,No,Fiber Optic,No,Month-to-Month,84.35,Yes,Yes,No,Bank Withdrawal,0.0,172.26,1
No,1,40,Yes,8574.08,No,Yes,5848.6,Yes,34,46,No,92676-MAH,Maharashtra,Male,No,Yes,Fiber Optic,Yes,One Year,84.45,No,No,No,Bank Withdrawal,0.0,2685.48,0
Yes,4,0,Yes,7161.55,Yes,Yes,6471.85,Yes,13,65,Yes,37347-AND,Andhra Pradesh,Female,No,Yes,Fiber Optic,No,Two Year,102.4,Yes,No,Yes,Bank Withdrawal,0.0,689.7,0
Yes,11,0,Yes,8842.3,No,Yes,8127.6,Yes,10,28,Yes,53535-ASS,Assam,Female,Yes,Yes,Fiber Optic,Yes,One Year,115.55,Yes,No,Yes,Credit Card,0.0,714.7,1
,6,0,Yes,815.6,No,Yes,676.35,No,35,58,,39219-KAR,Karnataka,Female,,,,,One Year,25.3,,Yes,,Bank Withdrawal,0.0,139.25,1
,9,0,No,1983.38,Yes,Yes,864.2,No,32,49,,17059-RAJ,Rajasthan,Female,,,,,Two Year,19.25,,Yes,,Credit Card,0.0,1119.18,0
Yes,8,0,Yes,6665.1,Yes,Yes,6049.5,Yes,28,68,Yes,23294-TAM,Tamil Nadu,Female,Yes,Yes,Fiber Optic,Yes,One Year,114.65,Yes,Yes,Yes,Credit Card,0.0,615.6,0
Yes,10,0,No,1918.6,No,Yes,1582.75,Yes,35,58,Yes,47612-AND,Andhra Pradesh,Female,No,Yes,Fiber Optic,Yes,Month-to-Month,105.1,Yes,Yes,Yes,Bank Withdrawal,0.0,335.85,1
,14,0,No,297.1,No,Yes,198.1,No,30,46,,14331-DEL,Delhi,Female,,,,,Month-to-Month,19.4,,Yes,,Bank Withdrawal,0.0,99.0,0
Yes,5,0,,1098.85,Yes,No,1098.85,Yes,33,46,Yes,76357-UTT,Uttar Pradesh,Female,Yes,No,Cable,No,Month-to-Month,50.35,Yes,No,Yes,Bank Withdrawal,0.0,0.0,0
Yes,14,0,,4038.29,No,No,4039.3,Yes,11,19,Yes,77938-MAD,Madhya Pradesh,Female,Yes,No,Cable,Yes,Two Year,57.8,Yes,No,Yes,Bank Withdrawal,1.01,0.0,0
No,3,130,No,3310.5,Yes,Yes,2438.6,Yes,29,51,No,81013-RAJ,Rajasthan,Male,Yes,Yes,Fiber Optic,Yes,Month-to-Month,84.3,No,Yes,No,Credit Card,0.0,741.9,0
Yes,10,0,Yes,9108.9,No,Yes,7113.75,Yes,10,21,Yes,17799-UTT,Uttar Pradesh,Male,Yes,No,Fiber Optic,No,One Year,100.55,Yes,No,Yes,Bank Withdrawal,16.99,2012.14,0
,13,0,No,870.95,No,Yes,576.65,No,6,30,,46189-MAH,Maharashtra,Female,,,,,One Year,19.8,,No,,Credit Card,0.0,294.3,0
No,1,0,Yes,486.98,Yes,Yes,371.9,Yes,1,21,No,62148-JAM,Jammu & Kashmir,Male,Yes,No,Fiber Optic,Yes,Month-to-Month,84.8,Yes,Yes,Yes,Bank Withdrawal,0.0,115.08,1
Yes,7,0,No,195.58,Yes,Yes,167.3,Yes,8,61,No,31049-TAM,Tamil Nadu,Female,No,No,Fiber Optic,Yes,Month-to-Month,85.85,Yes,No,Yes,Bank Withdrawal,0.0,28.28,1
,8,0,No,298.1,Yes,Yes,219.5,No,7,21,,11340-JAM,Jammu & Kashmir,Female,,,,,One Year,19.95,,No,,Bank Withdrawal,0.0,78.6,0
No,10,0,No,419.0,No,Yes,273.4,Yes,15,70,No,41758-BIH,Bihar,Male,No,Yes,Fiber Optic,No,One Year,75.35,Yes,No,No,Bank Withdrawal,0.0,145.6,0
Yes,11,0,,2555.05,Yes,No,2555.05,Yes,24,65,Yes,63633-KAR,Karnataka,Male,No,Yes,DSL,No,Two Year,48.8,Yes,Yes,Yes,Credit Card,0.0,0.0,0
No,6,0,Yes,333.2,No,Yes,223.15,Yes,11,20,No,74023-JAM,Jammu & Kashmir,Female,No,No,Cable,No,Month-to-Month,47.15,Yes,Yes,Yes,Bank Withdrawal,0.0,110.05,1
,14,0,No,188.46,No,Yes,165.5,No,1,35,,14575-MAH,Maharashtra,Male,,,,,Two Year,20.15,,No,,Credit Card,0.0,22.96,0
